chroma_stft,chroma_cens,melspectogram,rms,centroid,bandwidth,contrast,flatness,rolloff,crossing_rate,tempogram,fourier_tempogram,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,Label
0.77449864,0.2467646,2.6714542,0.1945264,774.0942816032053,1754.7329321845402,20.175651505238363,6.2881227e-06,1471.4770366690752,0.00517634573699422,0.2445684321478294,(0.3752292990684509+0.005019254982471466j),-315.4169,123.892456,25.252253,22.627419,21.048292,11.440138,8.173265,13.829491,9.115167,6.381118,15.136475,8.145811,9.970249,11.727045,6.8728027,9.203239,3.051635,4.992457,7.6701307,3.992922,5.382926,4.705205,5.960452,3.894776,4.6018553,186339-9-0-7.wav
0.24061471,0.1623504,18.54349,0.31464988,1436.1893322066646,1530.1248927197596,29.043242540573953,5.053933e-06,2318.740121477601,0.043447152727601156,0.2626408543898189,(0.1794281005859375+0.0013069893466308713j),-188.34688,188.5271,-63.144363,18.9374,-18.352379,16.381634,-6.507581,-10.898906,13.696974,-26.643555,11.723494,1.9684559,-11.227846,-4.5188837,-18.95105,6.0310354,4.071306,24.143837,37.72571,28.39413,35.695057,11.733612,-1.0318881,-9.974871,-13.021133,199769-1-0-9.wav
0.74639976,0.21078616,14.154792,0.33542126,943.1429327032126,1728.431677197752,19.87887585381843,2.7931267e-06,1732.4893311958092,0.007394779624277457,0.2794308885854478,(0.37392565608024597+0.00030857539968565106j),-174.24585,191.16133,-9.828398,29.684916,-4.6106606,14.095106,20.500547,-1.710501,16.249508,5.8299212,9.715758,8.189068,4.2159877,9.137415,2.2588255,10.0053625,7.638578,6.6249127,5.4377894,-0.7661788,6.7785816,3.9221506,5.507107,7.262394,2.7548785,17853-5-0-11.wav
0.6210442,0.26324728,5.3512383,0.19761291,2866.2855700968307,2731.174036451719,20.58279112252078,3.6997262e-05,5929.721369219653,0.0829301955382948,0.23144631437110016,(0.5243512988090515+0.0016279155388474464j),-79.93771,189.83147,-89.5293,72.74842,-33.927197,16.051424,13.493679,-12.912083,16.677488,-21.432198,18.125834,-4.187779,4.6952395,12.531097,-17.9304,14.377461,-11.590929,-0.895454,6.768937,-6.7806497,14.339164,-1.8635646,6.0880375,-3.195272,-4.044342,195451-5-0-4.wav
0.49342102,0.2769323,1.9789349,0.05590425,1038.284629604414,1691.2422648110717,20.543941313815573,1.340358e-05,1416.2748656520953,0.020935411398121388,0.23175373477488753,(0.37214651703834534+0.007927224971354008j),-333.75476,164.21033,44.371937,12.028288,-8.098376,-10.025009,-0.67309827,-2.3547218,-0.91190296,-2.9768596,-6.002069,-5.0188737,-4.6458316,-6.043488,-4.560801,-0.14429557,-2.1679862,-2.945792,-0.72736686,-2.3710182,-2.5986576,-2.3342836,-1.426985,-1.1530583,-3.3625798,82811-3-0-1.wav
0.5762397,0.28232688,4.687907,0.099012785,1976.112123002019,2292.2400160327397,18.590797850628572,1.8228671e-05,4117.135990561777,0.05281622561416185,0.045800924167822686,(0.4811463952064514+0.009275336749851704j),-292.1833,168.89836,-24.564959,13.827727,-27.722284,-5.0920353,-9.372281,-13.7266245,11.888822,-6.234222,8.172579,-0.347087,-3.487735,3.4930837,-5.966769,6.4577947,0.28646755,1.9463236,1.059795,-3.8050244,5.9542117,-0.7747582,1.1586951,-1.2735633,-0.67688286,148838-6-2-0.wav
0.3942546,0.2791401,2.0526938,0.09317471,1812.8675478747462,1823.7528631300868,22.36402461059967,4.961667e-06,2852.962709989162,0.056430353594653176,0.27379902296489866,(0.39610785245895386+0.001969459932297468j),-193.99652,179.24553,-55.523365,-15.548995,-23.856304,2.4968202,-10.286187,-15.629781,3.374261,-21.157413,-2.898366,-6.9327426,-12.832096,-4.8473372,-9.062609,3.7802587,-6.8932123,-5.3071175,-1.535529,-7.2094975,0.27980027,-5.5453753,-0.19237646,-3.7833023,-10.158529,58857-2-0-14.wav
0.6193675,0.26419508,1.8720864,0.1182182,2682.648544080549,2714.3141346563,20.63766244563326,3.4961828e-05,5763.368039875361,0.06809124367774566,0.2210167833294135,(0.5030194520950317+0.0005530461785383523j),-126.43441,162.538,-59.90073,52.749023,-21.039911,12.012686,14.21289,-6.8904967,10.190677,-16.856535,11.348799,-2.052629,5.28453,10.741125,-11.901461,11.091893,-7.7266684,-0.5940773,6.1518345,-4.2069354,12.641839,1.4222045,4.677999,-2.6878927,-3.4105988,195451-5-0-11.wav
0.43157807,0.2792527,3.4291904,0.14028797,1914.5735373859368,2157.1656880116884,22.55776711325155,1.2337439e-06,3861.475879470737,0.05698213963150289,0.2574952725789431,(0.3938726484775543-0.00363451917655766j),-151.73148,211.08801,-69.8077,56.304535,-17.64398,18.501598,11.039165,-16.245306,18.21413,-21.23064,4.226794,0.2567891,-4.2965903,9.28711,-8.011248,6.619083,-7.7006116,-2.1095324,2.6640675,-7.0154805,3.4881127,-10.015981,-0.17870682,1.590914,-0.078992724,49485-9-0-142.wav
0.51372635,0.26714793,3.7000053,0.19302176,1162.6464837829544,1580.1539240400155,21.480411617078705,6.7708283e-06,2286.87595962789,0.02192749729046243,0.21496039245163753,(0.44297173619270325+0.00012824642180930823j),-208.92857,176.14455,-33.822792,5.678307,6.92603,0.10185938,20.323452,10.967686,13.206292,14.198978,8.018416,5.167864,6.7071123,11.915624,8.907616,5.4536276,4.5553765,4.2406583,3.9918833,5.223236,7.52406,4.047434,4.1323366,6.996017,4.6188188,41372-3-0-36.wav
