file_name,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
101415-3-0-2.wav,0.5526404,0.48272997,0.7049368,0.32629585,0.5923042,0.46895555,0.396517,0.3286485,0.45236844,0.4821598,0.46745712,0.4852053,0.5604486
101415-3-0-3.wav,0.5872069,0.5817236,0.75092924,0.26595685,0.54502314,0.4544784,0.29252023,0.19195707,0.31077558,0.43751466,0.48483548,0.48771375,0.6182427
101415-3-0-8.wav,0.53455216,0.4139917,0.67369854,0.39635804,0.6493531,0.46885198,0.4519806,0.39128578,0.5250863,0.5392167,0.51056474,0.563495,0.522737
102106-3-0-0.wav,0.4561551,0.33367458,0.565908,0.36792308,0.60902375,0.4297173,0.5341526,0.41913292,0.5979089,0.5735016,0.49529663,0.6618863,0.544277
102305-6-0-0.wav,0.4780507,0.45752785,0.70522696,0.47265673,0.60335004,0.453747,0.5090651,0.47252205,0.5767394,0.5898867,0.43659025,0.5693494,0.55804384
102842-3-0-1.wav,0.562566,0.5050628,0.78036094,0.5812473,0.70152307,0.5400752,0.52795213,0.45743304,0.4932433,0.52947134,0.34782317,0.52975744,0.45532054
102842-3-1-0.wav,0.58036673,0.5180655,0.72559094,0.520737,0.6636369,0.5182679,0.49647486,0.38861775,0.47743672,0.5785269,0.44377404,0.6203487,0.5334746
102842-3-1-5.wav,0.5630499,0.4624954,0.70447093,0.5284536,0.6796676,0.52866507,0.5228392,0.46667993,0.5337754,0.6034609,0.4550599,0.6367432,0.5773124
102842-3-1-6.wav,0.5588672,0.45013553,0.6984225,0.5267116,0.6760925,0.53515494,0.5398031,0.4923386,0.54047793,0.60206634,0.46506009,0.63908166,0.567426
103074-7-0-0.wav,0.79540575,0.44317442,0.6074803,0.5394655,0.5210409,0.5325932,0.48347393,0.48873955,0.56557244,0.5454215,0.4002523,0.6098602,0.4879359
103074-7-0-1.wav,0.791785,0.4290936,0.61323214,0.5478357,0.53420067,0.53048974,0.51508087,0.5288817,0.5926841,0.5568755,0.4110107,0.6387827,0.49628186
103074-7-0-2.wav,0.7918401,0.4290247,0.5974344,0.5437785,0.538317,0.5516542,0.5294146,0.5512012,0.6118996,0.5681502,0.4034853,0.6453966,0.50385475
103074-7-1-0.wav,0.7870935,0.44175762,0.63243043,0.54490346,0.5333701,0.52819836,0.4942115,0.4791808,0.57341707,0.57987624,0.3628081,0.6231294,0.4936874
103074-7-1-1.wav,0.788242,0.44035143,0.637425,0.5533578,0.5219557,0.5218377,0.48134494,0.474992,0.5717517,0.5373557,0.3880075,0.61874115,0.4880624
103074-7-1-2.wav,0.79938525,0.42557475,0.6270983,0.55706704,0.5076778,0.53884673,0.4738535,0.47867975,0.5681177,0.526112,0.38464966,0.61111563,0.505649
103074-7-1-3.wav,0.8004089,0.41774642,0.61992246,0.5562165,0.4990313,0.53883,0.4763875,0.46912292,0.5715007,0.51101255,0.33870643,0.61104125,0.5079276
103074-7-1-4.wav,0.79518735,0.4256745,0.6228466,0.5551786,0.49329972,0.5270425,0.4580847,0.43683037,0.559761,0.46269202,0.32661718,0.59773767,0.50329244
103074-7-1-5.wav,0.77854156,0.4515599,0.650126,0.547885,0.53291905,0.5163923,0.43914378,0.42428234,0.5805165,0.46073556,0.3160565,0.5892305,0.51418155
103074-7-1-6.wav,0.74864614,0.4859011,0.65347075,0.5394365,0.5447856,0.53857124,0.45482895,0.44805908,0.5916961,0.5244282,0.33444184,0.59514785,0.53055006
103074-7-2-0.wav,0.37222898,0.29457638,0.6201431,0.4519009,0.58695376,0.47539148,0.49803254,0.44972977,0.55616313,0.55824906,0.41372883,0.5814232,0.54143196
103074-7-3-0.wav,0.807801,0.39437494,0.61426127,0.53451586,0.5425166,0.54619473,0.4862815,0.5062725,0.5968007,0.540303,0.3188388,0.56898195,0.56180835
103074-7-3-1.wav,0.7987312,0.40812856,0.6425292,0.5461064,0.5444646,0.5565936,0.48310032,0.50455093,0.5724454,0.5290137,0.33520192,0.5693535,0.55470145
103074-7-3-2.wav,0.7975349,0.41299617,0.6491246,0.560998,0.5497846,0.5538414,0.46684724,0.5319161,0.59489673,0.4885411,0.33404946,0.6119788,0.53913087
103074-7-3-3.wav,0.7817558,0.4475938,0.63645524,0.5557022,0.5482414,0.53771186,0.45723954,0.53259647,0.61579615,0.47307283,0.34532064,0.63007516,0.5242152
103074-7-4-0.wav,0.8032172,0.3965333,0.62112784,0.5396966,0.54784274,0.48272118,0.46866876,0.49810115,0.62672067,0.57664114,0.38949394,0.64870155,0.53494376
103074-7-4-1.wav,0.8085773,0.38573927,0.64485115,0.5598606,0.58376515,0.50765705,0.45967048,0.52328855,0.61873305,0.5515158,0.3561082,0.65949655,0.5120953
103074-7-4-2.wav,0.8118454,0.38572577,0.66149235,0.5769062,0.5961206,0.52572596,0.45033923,0.5318869,0.5913015,0.5277815,0.3584298,0.6394948,0.47248402
103074-7-4-3.wav,0.795303,0.40115023,0.6796646,0.5649494,0.59766805,0.5149646,0.45971805,0.53262067,0.5821568,0.5241038,0.35414436,0.60812026,0.48254302
103074-7-4-4.wav,0.7840399,0.42240685,0.69616735,0.5492159,0.5863543,0.5010632,0.4569126,0.4984521,0.572422,0.5135423,0.36936378,0.5922166,0.49761945
103074-7-4-5.wav,0.78879184,0.4331665,0.69813627,0.5483602,0.5779867,0.49791488,0.4330402,0.5006794,0.5961738,0.5046032,0.38697672,0.59722525,0.5209534
103074-7-4-6.wav,0.7873958,0.443142,0.6822651,0.5437449,0.5832738,0.5252159,0.4181791,0.50999063,0.63344574,0.52811253,0.39214036,0.6095416,0.55864525
103258-5-0-0.wav,0.5379915,0.59783494,0.58909184,0.61018866,0.6886794,0.64587015,0.65987253,0.68995327,0.7346292,0.71195924,0.50859123,0.65849584,0.50813913
103258-5-0-1.wav,0.5398936,0.5994179,0.5815433,0.60591584,0.6780322,0.64243627,0.65529126,0.6908275,0.7299806,0.7077952,0.48817885,0.6420772,0.46539223
103258-5-0-10.wav,0.540123,0.6025611,0.5695391,0.6084943,0.6708116,0.6472358,0.65766275,0.69405794,0.71457565,0.6921922,0.4928211,0.64919615,0.4763974
103258-5-0-11.wav,0.5408207,0.59991926,0.567941,0.6006054,0.66375065,0.64614046,0.6578096,0.6971085,0.7048926,0.6747618,0.4752681,0.6492609,0.47965735
103258-5-0-12.wav,0.5430249,0.6030601,0.5640026,0.59609175,0.6573396,0.646001,0.6563063,0.6952791,0.70567507,0.672602,0.47655952,0.66206086,0.4995765
103258-5-0-13.wav,0.5424283,0.60315204,0.56384915,0.591887,0.6550917,0.6486858,0.65545976,0.68558383,0.69829947,0.67522997,0.4759111,0.6661468,0.50879586
103258-5-0-14.wav,0.54181623,0.602703,0.5679323,0.5878024,0.658856,0.6551963,0.6681171,0.6887125,0.69723123,0.6825373,0.4769346,0.66904914,0.51414216
103258-5-0-15.wav,0.5471731,0.5948005,0.58447003,0.5919707,0.6826082,0.66056347,0.67946327,0.6995014,0.7200427,0.69368124,0.5147351,0.6808375,0.54541314
103258-5-0-16.wav,0.5544516,0.581041,0.5968786,0.60466975,0.6908688,0.675653,0.68160534,0.72446924,0.7335492,0.7091813,0.52302104,0.68838495,0.55408645
103258-5-0-17.wav,0.5568838,0.5744976,0.5984794,0.6042447,0.6924874,0.6798912,0.6796199,0.7316233,0.7298158,0.7069346,0.5047711,0.69851905,0.5506415
103258-5-0-18.wav,0.5589117,0.5677113,0.606668,0.5857147,0.6990525,0.6725552,0.6759596,0.7260261,0.7124995,0.69331086,0.50688744,0.7122777,0.5542295
103258-5-0-19.wav,0.560691,0.5599743,0.61870545,0.580022,0.6999723,0.6713679,0.67415833,0.72604597,0.70586497,0.69829345,0.5200353,0.7176901,0.54970556
103258-5-0-2.wav,0.5410231,0.6080396,0.5698885,0.60429275,0.66069424,0.64285594,0.6605255,0.7022078,0.7234269,0.70248306,0.46970087,0.6369369,0.45894367
103258-5-0-3.wav,0.54332304,0.6157347,0.5654223,0.59644717,0.6458794,0.64551294,0.6677199,0.6977804,0.70955086,0.6919427,0.4604083,0.6377994,0.45592734
103258-5-0-4.wav,0.54864454,0.61283994,0.5672511,0.5820583,0.6476099,0.65500444,0.66837,0.67870456,0.6999771,0.69524264,0.47129467,0.6355589,0.43805933
103258-5-0-5.wav,0.5484413,0.608142,0.56950706,0.58324844,0.6563011,0.6543931,0.663132,0.67272913,0.70802784,0.6992682,0.47595122,0.63436663,0.45320493
103258-5-0-6.wav,0.5540372,0.60769904,0.5772735,0.5979621,0.66202724,0.6613374,0.66804934,0.6798523,0.7210111,0.69279003,0.489868,0.65077764,0.4747192
103258-5-0-7.wav,0.5589001,0.60846865,0.57972926,0.60061085,0.66672015,0.66181326,0.6737795,0.6889541,0.73260856,0.6946124,0.5147516,0.6595099,0.48820844
103258-5-0-8.wav,0.5527359,0.6112689,0.5750759,0.594246,0.66165257,0.6532723,0.67806196,0.69950664,0.7263305,0.673785,0.49804428,0.64982665,0.49859846
103258-5-0-9.wav,0.5454003,0.61035,0.5699157,0.6026309,0.6583841,0.6545038,0.66813093,0.7056411,0.71235263,0.68184805,0.48424044,0.651839,0.48315537
105415-2-0-1.wav,0.7739445,0.52930284,0.47746247,0.4164556,0.5533263,0.46591538,0.46409148,0.28377324,0.50001043,0.54397625,0.32605284,0.5231314,0.42062485
105415-2-0-15.wav,0.76282,0.5285429,0.4599703,0.3689928,0.5518575,0.42157653,0.44234067,0.35312897,0.5088977,0.5245717,0.31568918,0.5145252,0.4035683
105415-2-0-19.wav,0.76121485,0.55458087,0.5204322,0.40016702,0.62235516,0.42781588,0.45194328,0.38022953,0.42036238,0.51823026,0.33610934,0.5216376,0.40609127
